Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-01 00:00:00+05:30,423.08139858511055,430.72859590354614,419.9435176851919,422.2214050292969,5487655,0.0,0.0
2013-11-05 00:00:00+05:30,419.94354386011423,428.4739644009078,419.94354386011423,422.8954772949219,5056001,0.0,0.0
2013-11-06 00:00:00+05:30,423.0349806210195,427.63724297160314,416.0386562193203,417.7354431152344,4439539,0.0,0.0
2013-11-07 00:00:00+05:30,417.92135572602814,421.08249465333574,410.0649810024182,411.8315124511719,4519284,0.0,0.0
2013-11-08 00:00:00+05:30,411.8780639547363,412.8078024195669,404.974684246895,407.2060852050781,4040793,0.0,0.0
2013-11-11 00:00:00+05:30,406.29948351202916,410.0649520811372,399.88423227796864,401.604248046875,4107915,0.0,0.0
2013-11-12 00:00:00+05:30,402.11566167827465,405.1838267781711,395.2355121795785,396.3512268066406,5616361,0.0,0.0
2013-11-13 00:00:00+05:30,395.0960239336198,400.4420761890004,391.47001609384785,392.5392150878906,3872692,0.0,0.0
2013-11-14 00:00:00+05:30,395.7236287568053,401.65075335801066,395.3284756596911,395.9095764160156,3706479,0.0,0.0
2013-11-18 00:00:00+05:30,398.9079913821231,408.04277026713544,398.00151087694513,406.6481628417969,5571764,0.0,0.0
2013-11-19 00:00:00+05:30,406.764420669868,411.3666830794016,406.764420669868,408.3217468261719,3892698,0.0,0.0
2013-11-20 00:00:00+05:30,406.6946973908243,410.4833956613776,398.39668198909504,400.9534912109375,6041338,0.0,0.0
2013-11-21 00:00:00+05:30,399.74483442986866,399.79132134985537,392.0976644855859,394.0268859863281,5291418,0.0,0.0
2013-11-22 00:00:00+05:30,395.60737601127875,398.1409556965274,390.0754048027598,392.237060546875,3453001,0.0,0.0
2013-11-25 00:00:00+05:30,393.91057484291304,398.3268886352661,392.3765067930474,395.9327697753906,4651182,0.0,0.0
2013-11-26 00:00:00+05:30,395.37497283138754,398.3036771825115,389.3548742444024,391.07489013671875,6445301,0.0,0.0
2013-11-27 00:00:00+05:30,392.58570916620357,394.91008349043517,388.2856266912795,389.5408020019531,5271168,0.0,0.0
2013-11-28 00:00:00+05:30,391.93488457255205,398.1177012478128,391.93488457255205,394.18951416015625,5790300,0.0,0.0
2013-11-29 00:00:00+05:30,395.58418751478627,398.16422573481805,394.49173064177506,396.6301574707031,4561538,0.0,0.0
2013-12-02 00:00:00+05:30,396.53718518001097,401.16267641278637,396.2117767590836,397.60638427734375,3332837,0.0,0.0
2013-12-03 00:00:00+05:30,397.4669042502669,402.34808761263565,395.4447091255634,400.6745300292969,4238703,0.0,0.0
2013-12-04 00:00:00+05:30,400.2096774003044,403.2778425609296,396.63015615333916,397.9550476074219,4043235,0.0,0.0
2013-12-05 00:00:00+05:30,405.3698050644656,407.69415104104326,403.53352877908793,404.9049072265625,5784625,0.0,0.0
